Plugin,Plugin Alias,Epoch Time (s),Time per iteration (s),Peak Memory (MiB),Virtual Memory (GiB),Time Taken to train (mins),Max Per GPU Batch Size,Batch Epoch Time (s)
DDP,ddp,20.96,0.15,23005.18,33.30,3.49,64,30.02
DDP w checkpointing,ddp,23.14,0.17,21633.95,33.30,3.86,352,36.23
DeepSpeed ZeRO Stage 2,deepspeed_stage_2,28.31,0.21,9989.30,42.60,4.72,200,25
DeepSpeed ZeRO Stage 2 w checkpointing,deepspeed_stage_2,29.88,0.22,9331.15,42.59,4.98,992,29.86
DeepSpeed ZeRO Stage 2 Offload,deepspeed_stage_2_offload,137.86,1.01,8327.70,55.91,22.98,200,42.29
DeepSpeed ZeRO Stage 2 Offload w checkpointing,deepspeed_stage_2_offload,139.54,1.03,7609.52,55.67,23.26,1048,32.96
DeepSpeed ZeRO Stage 3,deepspeed_stage_3,30.54,0.22,3945.52,33.72,5.09,232,24.03
DeepSpeed ZeRO Stage 3 w checkpointing,deepspeed_stage_3,39,0.29,3321.59,33.77,6.50,1208,34.13
DeepSpeed ZeRO Stage 3 Offload,deepspeed_stage_3_offload,162.31,1.19,2259.94,50.23,27.05,256,40.56
DeepSpeed ZeRO Stage 3 Offload w checkpointing,deepspeed_stage_3_offload,163.92,1.21,1392.03,50.24,27.32,1272,36.61
Sharded Training,ddp_sharded,16.32,0.12,8936.26,33.29,2.72,136,25
Sharded Training w checkpointing,ddp_sharded,18.72,0.11,8511.95,33.25,2.39,592,35.57
Fully Sharded Training No Nested Wrapping,ddp_fully_sharded,12.93,0.10,7300.70,33.45,2.16,152,94.44
Fully Sharded Training Wrap,ddp_fully_sharded,12.57,0.09,5532.60,33.42,2.10,152,68.51
Fully Sharded Training Auto Wrap,ddp_fully_sharded_auto_wrap,12.56,0.09,5532.67,33.42,2.09,152,68.38
Fully Sharded Training Auto Wrap w checkpointing,ddp_fully_sharded_auto_wrap,14.33,0.11,4229.05,33.40,2.39,720,50.57
